nazwa,cena,cenam,pokoi,metrow;
"Sprzedam mieszkanie prywatnie, ul. Warszawska 78,399 000 zł,6927 zł/m²,4 pokoje,""57,6 m²""";
Białystok Leśna Dolina 48 m2,340 000 zł,7083 zł/m²,2 pokoje,48 m²;
"Idealne dla rodziny * 3 osobne pokoje * I piętro *,369 000 zł,7704 zł/m²,3 pokoje,""47,9 m²""";
"Mieszkanie 60 m2, I piętro, Białostoczek,459 000 zł,7637 zł/m²,3 pokoje,""60,1 m²""";
"**Upalna**,365 000 zł,7228 zł/m²,2 pokoje,""50,5 m²""";
"3-pokojowe mieszkanie, Piaski,379 000 zł,7164 zł/m²,3 pokoje,""52,9 m²""";
"4 pokoje na Zielonych Wzgórzach z opcją garażu,479 000 zł,5696 zł/m²,4 pokoje,""84,1 m²""";
Trzypokojowe mieszkanie w centrum, ul Fabryczna,460 000 zł,7419 zł/m²,3 pokoje,62 m²;
"Sprzedam mieszkanie 3-pokojowe do remontu.,385 000 zł,7988 zł/m²,3 pokoje,""48,2 m²""";
"Mieszkanie***2 pokoje***Zielone Wzgórza,305 000 zł,5877 zł/m²,2 pokoje,""51,9 m²""";
3 pokoje 45 m2 Boh.Monte Cassino,329 000 zł,7311 zł/m²,3 pokoje,45 m²;
"Mieszkanie w centrum do własnej aranżac,352 500 zł,6898 zł/m²,3 pokoje,""51,1 m²""";
"3 pokoje Blisko Bazarku na Gajowej,399 000 zł,6683 zł/m²,3 pokoje,""59,7 m²""";
"Sprzedam bezpośrednio 59m2 !!!,395 000 zł,6605 zł/m²,3 pokoje,""59,8 m²""";
"Białostoczek, 4 pokoje, I piętro,449 000 zł,6245 zł/m²,4 pokoje,""71,9 m²""";
"* 4 Pokoje * Zielone Wzgórza * Niski Blok *,419 000 zł,5763 zł/m²,4 pokoje,""72,7 m²""";
- 3 pokojowe mieszkanie os. Zielone Wzgórza -,369 000 zł,5766 zł/m²,3 pokoje,64 m²;
"3 pokoje I 1 piętro I Leśna Dolina I 62m2 I Zieleń,449 000 zł,7289 zł/m²,3 pokoje,""61,6 m²""";
"*3 pokoje w ścisłym centrum - Lipowa*,469 000 zł,7395 zł/m²,3 pokoje,""63,42 m²""";
"2-pokoje, blisko Centrum!,329 000 zł,7276 zł/m²,2 pokoje,""45,22 m²""";
Okazja Cenowa!*2 pok*4p*Leszczynowa*,309 000 zł,7923 zł/m²,2 pokoje,39 m²;
"## II etap inwestycji już w sprzedaży! ##,499 000 zł,7802 zł/m²,3 pokoje,""63,96 m²""";
"Kolejowa-49 mkw-II piętro-Do Negocjacji,360 000 zł,7302 zł/m²,2 pokoje,""49,3 m²""";
"- Wygodne 3 pokojowe mieszkanie w bloku z windą -,439 000 zł,7349 zł/m²,3 pokoje,""59,74 m²""";
Mieszkanie os. Wygoda, 60 m2 plus ogródek i garaż,385 000 zł,6417 zł/m²,3 pokoje,60 m²;
Mieszkanie w fantastycznej lokalizacji,420 000 zł,7925 zł/m²,3 pokoje,53 m²;
"Sprzedam mieszkanie ul. Stroma,375 000 zł,5396 zł/m²,3 pokoje,""69,5 m²""";
"Bezpośrednio mieszkanie 69,60 m² 3 pok. CENTRUM,470 000 zł,6753 zł/m²,3 pokoje,""69,6 m²""";
* 2 Pokoje * Os. Mickiweicza * Wysoki Standard *,457 000 zł,1 zł/m²,2 pokoje,457 000 m²;
"*Dobra Inwestycja, Czy Pierwsze Mieszkanie?*,349 000 zł,7211 zł/m²,2 pokoje,""48,4 m²""";
"** 2 Niezależne Pokoje ** 51 M2 **,399 000 zł,7688 zł/m²,2 pokoje,""51,9 m²""";
"os. Przydworcowe # ul. Kolejowa # 2 Pokoje,345 000 zł,7008 zł/m²,2 pokoje,""49,23 m²""";
Przestronne mieszkanie na ulicy Hallera,435 000 zł,7250 zł/m²,3 pokoje,60 m²;
"Waszyngtona 4 pokojowe mieszkanie,409 000 zł,6839 zł/m²,4 pokoje,""59,8 m²""";
"3-pokojowe mieszkanie przy ul.Wasilkowskiej,435 000 zł,6991 zł/m²,3 pokoje,""62,22 m²""";
Jasne mieszkanie przy ul. Generała Józefa Hallera,359 000 zł,7638 zł/m²,2 pokoje,47 m²;
***Gajowa, 84m2, parter, loggia, 5-pok ***,445 000 zł,5298 zł/m²,5 pokoi,84 m²;
"* Mieszkanie 4 pokojowe os. Nowe Miasto *,409 000 zł,7076 zł/m²,4 pokoje,""57,8 m²""";
"Trzypokojowe mieszkanie na osiedlu Wysoki Stoczek.,390 000 zł,6522 zł/m²,3 pokoje,""59,8 m²""";
Z potencjałem 3 pokoje, 60 m2, os. Dziesieciny,396 000 zł,6600 zł/m²,3 pokoje,60 m²;
"Sprzedam mieszkanie prywatnie, ul. Warszawska 78,399 000 zł,6927 zł/m²,4 pokoje,""57,6 m²""";
Białystok Leśna Dolina 48 m2,340 000 zł,7083 zł/m²,2 pokoje,48 m²;
"Mieszkanie w centrum do własnej aranżac,352 500 zł,6898 zł/m²,3 pokoje,""51,1 m²""";
"Sprzedam mieszkanie prywatnie, ul. Warszawska 78,399 000 zł,6927 zł/m²,4 pokoje,""57,6 m²""";
"Legionowa* Dla rodziny lub dochodowy najem*Polecam,465 000 zł,6681 zł/m²,3 pokoje,""69,6 m²""";
**3 Pokoje**Atrakcyjna Cena**,365 000 zł,6083 zł/m²,3 pokoje,60 m²;
"4 pokoje, II piętro, centrum, parking, do wejścia,489 000 zł,6745 zł/m²,4 pokoje,""72,5 m²""";
"Interesujące mieszkanie na Nowym Mieście!,392 000 zł,6338 zł/m²,3 pokoje,""61,85 m²""";
"3 pokoje z miejscem postojowym Leśna Dolina,440 000 zł,7273 zł/m²,3 pokoje,""60,5 m²""";
"4 pok*II piętro*mieszkanie dla Rodziny*CENTRUM,489 000 zł,6754 zł/m²,4 pokoje,""72,4 m²""";
"Przestronne 4-pokojowe, 71,60 m2 oś. Piaski,499 000 zł,6969 zł/m²,4 pokoje,""71,6 m²""";
"3 pokoje, Centrum, Bezpośrednio,498 000 zł,7808 zł/m²,3 pokoje,""63,78 m²""";
Białystok Leśna Dolina 48 m2,340 000 zł,7083 zł/m²,2 pokoje,48 m²;
**Zagórna**,420 000 zł,7000 zł/m²,3 pokoje,60 m²;
"Fasty/bezczynszowe/duży ogród/2 parkingi w cenie,419 000 zł,6914 zł/m²,3 pokoje,""60,6 m²""";
"**Dwupokojowe mieszkanie na Zielonych Wzgórzach**,365 000 zł,6992 zł/m²,2 pokoje,""52,2 m²""";
"Ostatnia szeregówka 75 m2 + ogród + miejsce post.,440 000 zł,5889 zł/m²,4 pokoje,""74,72 m²""";
"4 pokoje !!! II piętro !!!,430 000 zł,7107 zł/m²,4 pokoje,""60,5 m²""";
Mieszkanie na osiedlu Dojlidy ul. Niedżwiedzia,425 000 zł,7727 zł/m²,3 pokoje,55 m²;
Trzypokojowe mieszkanie z potencjałem. 72m2.,435 000 zł,6042 zł/m²,3 pokoje,72 m²;
"3 lub 4 pokojowe do remontu,385 000 zł,6962 zł/m²,3 pokoje,""55,3 m²""";
"Mieszkanie_3-pokoje_60m2_I p_Pułaskiego_Białystok,470 000 zł,7836 zł/m²,3 pokoje,""59,98 m²""";
"4 pokojowe mieszkanie na Słonecznym Stoku,450 000 zł,5653 zł/m²,4 pokoje,""79,6 m²""";
"4 pokoje_81,8m2_IV p_Armii Krajowej_Białystok,480 000 zł,5868 zł/m²,4 pokoje,""81,8 m²""";
Przestronne Mieszkanie 68 m Bema ul. Pogodna,479 000 zł,7044 zł/m²,4 pokoje,68 m²;
Antoniukowska-48M2-3 Pokoje,379 000 zł,7896 zł/m²,3 pokoje,48 m²;
**3 pokoje**Fabryczna**garaż,420 000 zł,6774 zł/m²,3 pokoje,62 m²;
"Mieszkanie dla rodziny* Stroma* Do wejścia,445 000 zł,7555 zł/m²,4 pokoje,""58,9 m²""";
* 3 pokojowe mieszkanie w bloku z windą *,472 900 zł,6478 zł/m²,3 pokoje,73 m²;
3-Pokojowe mieszkanie, os. Bojary, blok z cegły,449 000 zł,7016 zł/m²,3 pokoje,64 m²;
Sprzedam mieszkanie 2-pokojowe Piaski,300 000 zł,7692 zł/m²,2 pokoje,39 m²;
Baranowicka 3 pokoje z ogródkiem.,499 000 zł,7797 zł/m²,3 pokoje,64 m²;
"Mieszkanie 2-pokojowe Nowe Miasto,455 000 zł,7992 zł/m²,2 pokoje,""56,93 m²""";
Mieszkanie plus ładna działka 307m2,420 000 zł,7241 zł/m²,2 pokoje,58 m²;
Mieszkanie 57 m2, 4 pokojowe na sprzedaż 395000 Z,395 000 zł,6930 zł/m²,4 pokoje,57 m²;
"Słoneczne 60,20m2 , VI piętro przy Hallera !!!,337 000 zł,5598 zł/m²,3 pokoje,""60,2 m²""";
**Idealne pod 2 % - I piętro na Nowym Mieście**,460 000 zł,6389 zł/m²,4 pokoje,72 m²;
"Idealne dla rodziny * 3 osobne pokoje * I piętro *,369 000 zł,7704 zł/m²,3 pokoje,""47,9 m²""";
"Mieszkanie 60 m2, I piętro, Białostoczek,459 000 zł,7637 zł/m²,3 pokoje,""60,1 m²""";
"**Upalna**,365 000 zł,7228 zł/m²,2 pokoje,""50,5 m²""";
"3-pokojowe mieszkanie, Piaski,379 000 zł,7164 zł/m²,3 pokoje,""52,9 m²""";
"4 pokoje na Zielonych Wzgórzach z opcją garażu,479 000 zł,5696 zł/m²,4 pokoje,""84,1 m²""";
Trzypokojowe mieszkanie w centrum, ul Fabryczna,460 000 zł,7419 zł/m²,3 pokoje,62 m²;
"Sprzedam mieszkanie 3-pokojowe do remontu.,385 000 zł,7988 zł/m²,3 pokoje,""48,2 m²""";
"Mieszkanie***2 pokoje***Zielone Wzgórza,305 000 zł,5877 zł/m²,2 pokoje,""51,9 m²""";
3 pokoje 45 m2 Boh.Monte Cassino,329 000 zł,7311 zł/m²,3 pokoje,45 m²;
"Mieszkanie w centrum do własnej aranżac,352 500 zł,6898 zł/m²,3 pokoje,""51,1 m²""";
"3 pokoje Blisko Bazarku na Gajowej,399 000 zł,6683 zł/m²,3 pokoje,""59,7 m²""";
"Sprzedam bezpośrednio 59m2 !!!,395 000 zł,6605 zł/m²,3 pokoje,""59,8 m²""";
"Białostoczek, 4 pokoje, I piętro,449 000 zł,6245 zł/m²,4 pokoje,""71,9 m²""";
"* 4 Pokoje * Zielone Wzgórza * Niski Blok *,419 000 zł,5763 zł/m²,4 pokoje,""72,7 m²""";
- 3 pokojowe mieszkanie os. Zielone Wzgórza -,369 000 zł,5766 zł/m²,3 pokoje,64 m²;
"3 pokoje I 1 piętro I Leśna Dolina I 62m2 I Zieleń,449 000 zł,7289 zł/m²,3 pokoje,""61,6 m²""";
"*3 pokoje w ścisłym centrum - Lipowa*,469 000 zł,7395 zł/m²,3 pokoje,""63,42 m²""";
"2-pokoje, blisko Centrum!,329 000 zł,7276 zł/m²,2 pokoje,""45,22 m²""";
Okazja Cenowa!*2 pok*4p*Leszczynowa*,309 000 zł,7923 zł/m²,2 pokoje,39 m²;
"## II etap inwestycji już w sprzedaży! ##,499 000 zł,7802 zł/m²,3 pokoje,""63,96 m²""";
"Kolejowa-49 mkw-II piętro-Do Negocjacji,360 000 zł,7302 zł/m²,2 pokoje,""49,3 m²""";
"- Wygodne 3 pokojowe mieszkanie w bloku z windą -,439 000 zł,7349 zł/m²,3 pokoje,""59,74 m²""";
Mieszkanie os. Wygoda, 60 m2 plus ogródek i garaż,385 000 zł,6417 zł/m²,3 pokoje,60 m²;
Mieszkanie w fantastycznej lokalizacji,420 000 zł,7925 zł/m²,3 pokoje,53 m²;
"Sprzedam mieszkanie ul. Stroma,375 000 zł,5396 zł/m²,3 pokoje,""69,5 m²""";
"Bezpośrednio mieszkanie 69,60 m² 3 pok. CENTRUM,470 000 zł,6753 zł/m²,3 pokoje,""69,6 m²""";
* 2 Pokoje * Os. Mickiweicza * Wysoki Standard *,457 000 zł,1 zł/m²,2 pokoje,457 000 m²;
"*Dobra Inwestycja, Czy Pierwsze Mieszkanie?*,349 000 zł,7211 zł/m²,2 pokoje,""48,4 m²""";
"** 2 Niezależne Pokoje ** 51 M2 **,399 000 zł,7688 zł/m²,2 pokoje,""51,9 m²""";
"os. Przydworcowe # ul. Kolejowa # 2 Pokoje,345 000 zł,7008 zł/m²,2 pokoje,""49,23 m²""";
Przestronne mieszkanie na ulicy Hallera,435 000 zł,7250 zł/m²,3 pokoje,60 m²;
"Waszyngtona 4 pokojowe mieszkanie,409 000 zł,6839 zł/m²,4 pokoje,""59,8 m²""";
"3-pokojowe mieszkanie przy ul.Wasilkowskiej,435 000 zł,6991 zł/m²,3 pokoje,""62,22 m²""";
Jasne mieszkanie przy ul. Generała Józefa Hallera,359 000 zł,7638 zł/m²,2 pokoje,47 m²;
***Gajowa, 84m2, parter, loggia, 5-pok ***,445 000 zł,5298 zł/m²,5 pokoi,84 m²;
"* Mieszkanie 4 pokojowe os. Nowe Miasto *,409 000 zł,7076 zł/m²,4 pokoje,""57,8 m²""";
"Trzypokojowe mieszkanie na osiedlu Wysoki Stoczek.,390 000 zł,6522 zł/m²,3 pokoje,""59,8 m²""";
Z potencjałem 3 pokoje, 60 m2, os. Dziesieciny,396 000 zł,6600 zł/m²,3 pokoje,60 m²;
"Sprzedam mieszkanie prywatnie, ul. Warszawska 78,399 000 zł,6927 zł/m²,4 pokoje,""57,6 m²""";
Białystok Leśna Dolina 48 m2,340 000 zł,7083 zł/m²,2 pokoje,48 m²;
"Mieszkanie w centrum do własnej aranżac,352 500 zł,6898 zł/m²,3 pokoje,""51,1 m²""";
2 pokoje Super Lokalizacja - Piasta,243 000 zł,7364 zł/m²,2 pokoje,33 m²;
"**Swobodna**,369 000 zł,5866 zł/m²,3 pokoje,""62,9 m²""";
"3 oddzielnej pokoje w cegle! Oś. Sienkieiwcza!,417 000 zł,7500 zł/m²,3 pokoje,""55,6 m²""";
"*Trzy Oddzielne Pokoje* Nowe Miasto* Duży Balkon *,409 000 zł,6634 zł/m²,3 pokoje,""61,65 m²""";
"Mieszkanie na parterze, 2-pok. osiedle Antoniuk.,315 000 zł,7464 zł/m²,2 pokoje,""42,2 m²""";
"4 Pokoje – 4 Piętro – 444 Możliwości,379 000 zł,6254 zł/m²,4 pokoje,""60,6 m²""";
"* 1 Piętro * 3 Pokoje * Wiele Możliwości *,410 000 zł,6891 zł/m²,3 pokoje,""59,5 m²""";
_ Legionowa, 3-pok, z panoramicznym widokiem _,459 000 zł,6557 zł/m²,3 pokoje,70 m²;
"Mieszkanie do własnej aranżacji w dobrej cenie,395 000 zł,6605 zł/m²,3 pokoje,""59,8 m²""";
"Mieszkanie na osiedlu Piasta w okazyjnej cenie,340 000 zł,7054 zł/m²,3 pokoje,""48,2 m²""";
2 pokoje do zamieszkania Hellera,359 000 zł,7327 zł/m²,2 pokoje,49 m²;
Leszczynowa | Ip | 3 pok,347 000 zł,7229 zł/m²,3 pokoje,48 m²;
Mieszkanie 56m, Białostoczek ul.Radzymińska,425 000 zł,7589 zł/m²,3 pokoje,56 m²;
Mieszkanie - Białystok Dziesięciny,360 000 zł,7500 zł/m²,2 pokoje,48 m²;
"Parter. 3 pokoje. Oddzielna kuchnia.,395 000 zł,6605 zł/m²,3 pokoje,""59,8 m²""";
Gajowa | IVp | 48mkw | 2 pok,293 000 zł,6104 zł/m²,2 pokoje,48 m²;
"3 oddzielne pokoje * parter * docieplony blok,390 000 zł,6522 zł/m²,3 pokoje,""59,8 m²""";
"Wysoki Stoczek, parter, balkon, duże, dwustronne,395 000 zł,6605 zł/m²,3 pokoje,""59,8 m²""";
"* 3 pokojowe mieszkanie na Nowym Mieście *,499 000 zł,7713 zł/m²,3 pokoje,""64,7 m²""";
"Rezerwacja ul. Swobodna, pierwsze piętro, 48m2,325 000 zł,6730 zł/m²,2 pokoje,""48,29 m²""";
-Wierzbowa-3pok-I Piętro-,390 000 zł,6724 zł/m²,3 pokoje,58 m²;
"Mieszkanie, 62,80 m², Białystok,375 000 zł,5971 zł/m²,3 pokoje,""62,8 m²""";
"56m2*Centrum* Ul. Elektryczna,419 000 zł,7456 zł/m²,2 pokoje,""56,2 m²""";
Dworska, 2 piętro,480 000 zł,8000 zł/m²,3 pokoje,60 m²;
Sprzedam Mieszkanie Dwupokojowe Nowe Miasto,379 000 zł,7431 zł/m²,2 pokoje,51 m²;
Szeroka, 4 pokoje,485 000 zł,6736 zł/m²,4 pokoje,72 m²;
Super Cena .. 3 Pokoje .... DoskonałaLokalizacka,348 900 zł,7120 zł/m²,3 pokoje,49 m²;
Okazja Centrum.... Dwa Pokoje.,282 900 zł,7254 zł/m²,2 pokoje,39 m²;
"BLISKO CENTRUM, 2 pokoje, 47,6m2, z windą,330 000 zł,6933 zł/m²,2 pokoje,""47,6 m²""";
"3 pokoje* oddzielna kuchnia* Super cena* Polecam,389 000 zł,6050 zł/m²,3 pokoje,""64,3 m²""";
"Okazja! 3 pokojowe mieszkanie na Bema,399 000 zł,6774 zł/m²,3 pokoje,""58,9 m²""";
"Centrum 3 pokoje,440 000 zł,6322 zł/m²,3 pokoje,""69,6 m²""";
"*Możliwość Aranżacji 3 Pokoi*Cegła*Antoniuk*,349 000 zł,7637 zł/m²,2 pokoje,""45,7 m²""";
"Mieszkanie w atrakcyjnej lokalizacji,390 000 zł,7962 zł/m²,3 pokoje,""48,98 m²""";
"3 Pokoje * Parter *Ul. Scaleniowa,395 000 zł,6605 zł/m²,3 pokoje,""59,8 m²""";
Rezerwacja,325 000 zł,6915 zł/m²,3 pokoje,47 m²;
Świetne mieszkanie tuż przy centrum miasta,319 000 zł,7595 zł/m²,2 pokoje,42 m²;
Świetne mieszkanie w centrum do własnej aranżacji,309 000 zł,7186 zł/m²,2 pokoje,43 m²;
"* 4 pokojowe mieszkanie blisko centrum miasta *,450 000 zł,7246 zł/m²,4 pokoje,""62,1 m²""";
"Mieszkanie, 62,80 m², Białystok,375 000 zł,5971 zł/m²,3 pokoje,""62,8 m²""";
*Mieszkanie*2 pokoje* Cegła*,450 000 zł,7377 zł/m²,2 pokoje,61 m²;
Leśna Dolina, 2 pokoje 61 m2, Komfort i Przestrzeń,450 000 zł,7377 zł/m²,2 pokoje,61 m²;
"Ukośna Antoniuk 3 pok. 48m2 IVp. zamiana na parter,369 000 zł,7656 zł/m²,3 pokoje,""48,2 m²""";
"Mieszkanie inwestycyjne w atrakcyjnej lokalizacji,385 000 zł,7988 zł/m²,3 pokoje,""48,2 m²""";
Rozkładowe M3 z balkonem na Białostoczku!,355 000 zł,7396 zł/m²,3 pokoje,48 m²;
"m. z Ogródkiem, idealne na Lokal,369 000 zł,7593 zł/m²,2 pokoje,""48,6 m²""";
"Mieszkanie, 62,80 m², Białystok,375 000 zł,5971 zł/m²,3 pokoje,""62,8 m²""";
Trzypokojowe mieszkanie na Zielonych Wzgórzach.,395 000 zł,5896 zł/m²,3 pokoje,67 m²;
Mieszkanie, 46 m², Białystok,359 000 zł,7804 zł/m²,3 pokoje,46 m²;
Mieszkanie 2 pok. Dobra Cena,289 000 zł,7811 zł/m²,2 pokoje,37 m²;
Nowe Miasto, Św Jerzego, 3 pokoje, do zamieszkania,490 000 zł,7903 zł/m²,3 pokoje,62 m²;
"Mieszkanie 2-Pokojowe na sprzedaż Centrum,420 000 zł,7850 zł/m²,2 pokoje,""53,5 m²""";
"Prestiż i Komfort na Pogodnej! Top Lokalizacja! 3P,449 000 zł,6929 zł/m²,3 pokoje,""64,8 m²""";
3 pokoje. Oddzielna kuchnia. Ul. Stroma.,379 000 zł,6016 zł/m²,3 pokoje,63 m²;
"3 Pokoje- Osiedle Mickiewicza,440 000 zł,7108 zł/m²,3 pokoje,""61,9 m²""";
"3 niezależne pokoje, z dobrym dojazdem do Centrum,420 000 zł,7259 zł/m²,3 pokoje,""57,86 m²""";
"3 przestronne pokoje, Centrum Cegła,498 000 zł,7813 zł/m²,3 pokoje,""63,74 m²""";
"4 pokoje z pięknym widokiem, Dziesięciny!,429 900 zł,6133 zł/m²,4 pokoje,""70,1 m²""";
"*** REZERWACJA ***,415 000 zł,7559 zł/m²,3 pokoje,""54,9 m²""";
"II etap juz w sprzedaży* Baranowicka Premium*,499 000 zł,7802 zł/m²,3 pokoje,""63,96 m²""";
4 pokoje_72m2_I p_Zagórna_Białystok,420 000 zł,5833 zł/m²,4 pokoje,72 m²;
"Antoniukowska * 3 pokoje * 4 piętro *,439 000 zł,7967 zł/m²,3 pokoje,""55,1 m²""";
Mieszkanie do remontu 3 pokoje Nowe Miasto,428 000 zł,5944 zł/m²,3 pokoje,72 m²;
"Mieszkanie do remontu 49,9m2,340 000 zł,6814 zł/m²,3 pokoje,""49,9 m²""";
"Dwustronne/3oddzielne pokoje/Blisko centrum,385 000 zł,6461 zł/m²,3 pokoje,""59,59 m²""";
"Ul. Legionowa. 3 pokoje.,445 000 zł,7594 zł/m²,3 pokoje,""58,6 m²""";
3 pokoje na parterze blisko centrum, do wejścia!,439 000 zł,7197 zł/m²,3 pokoje,61 m²;
"Przytulne i ciche mieszkanie-2 pokoje,299 000 zł,7973 zł/m²,2 pokoje,""37,5 m²""";
"Trzypokojowe mieszkania na Upalnej.,349 000 zł,5956 zł/m²,3 pokoje,""58,6 m²""";
"*Mieszkanie 3-pok.*Parter*65 m2*Al.J.Piłsudskiego*,485 000 zł,7476 zł/m²,3 pokoje,""64,87 m²""";
3 Pokoje*Ul. Branickiego* 51m2,329 000 zł,6451 zł/m²,3 pokoje,51 m²;
"Dwupokojowe mieszkanie na I piętrze.,265 000 zł,7124 zł/m²,2 pokoje,""37,2 m²""";
"Sprzedam mieszkanie prywatnie, ul. Warszawska 78,399 000 zł,6927 zł/m²,4 pokoje,""57,6 m²""";
Białystok Leśna Dolina 48 m2,340 000 zł,7083 zł/m²,2 pokoje,48 m²;
"Mieszkanie w centrum do własnej aranżac,352 500 zł,6898 zł/m²,3 pokoje,""51,1 m²""";
"Przytulne mieszkanie, blok z cegły,329 900 zł,7515 zł/m²,2 pokoje,""43,9 m²""";
"Stołeczna, 57,4m2, 3pok., parter!,399 000 zł,6951 zł/m²,3 pokoje,""57,4 m²""";
**Mieszkanie Do Wprowadzenia Osiedle Antoniuk**,380 000 zł,7917 zł/m²,3 pokoje,48 m²;
*Inwestycyjne*Gajowa*72 m2* II piętro*Polecam*,438 000 zł,6083 zł/m²,3 pokoje,72 m²;
"3-pokojowe mieszkanie na Waszyngtona,470 000 zł,6483 zł/m²,3 pokoje,""72,5 m²""";
"2 pok. w dobrej lokalizacji,349 000 zł,6764 zł/m²,2 pokoje,""51,6 m²""";
"Duo Apartamenty | mieszkanie A/1,Zapytaj o cenę,,3 pokoje,""59,3 m²""";
"Słoneczne mieszkanie na sprzedaż,Zapytaj o cenę,,3 pokoje,""63,19 m²""";
"Jurowiecka # 2 piętro # Do remontu # Inwestycyjnie,Zapytaj o cenę,,3 pokoje,""63,11 m²""";
"**** 62 M 2 **** 7Piętro **** Dziesięciny ****,435 000 zł,7214 zł/m²,3 pokoje,""60,3 m²""";
"***Przestronne M3* Zielone Wzgórza ***,299 000 zł,7746 zł/m²,1 pokój,""38,6 m²""";
3 oddzielne pokoje na 11 piętrze - do remontu,439 000 zł,7317 zł/m²,3 pokoje,60 m²;
"Przestronne Mieszkanie z Doskonałą Lokalizacją 3p,424 000 zł,6300 zł/m²,3 pokoje,""67,3 m²""";
* 3 Oddzielne Pokoje* Parter* Antoniuk*,333 900 zł,6956 zł/m²,3 pokoje,48 m²;
Swobodna | IVP | 60mkw | 3 pok,375 000 zł,6818 zł/m²,3 pokoje,55 m²;
